;SEACS_F1;SEACS_F2;SEACS_F3;SEACS_t;TEPS_total;BNSS_anh;BNSS_asos;BNSS_avol;BNSS_ED;BNSS_MAP;BNSS_tot;BPRStotal;ESRS;Calgary;PSP;SAS;PAS
SEACS_F1;1;.573**;.514**;.877**;.518**;-.509**;-.439**;-.412**;-0.234;-.529**;-.452**;-0.25;0;-.345**;0.25;-.592**;-.447*
SEACS_F2;.573**;1;.451**;.849**;.456**;-.399**;-0.249;-.291*;-0.055;-.375**;-.268*;-0.262;-0.244;-.293*;.334*;-.510**;-.413*
SEACS_F3;.514**;.451**;1;.728**;.602**;-0.156;-0.168;-0.201;-0.213;-0.207;-0.236;-.279*;-0.145;-0.195;.387**;-.530**;-.643**
SEACS_t;.877**;.849**;.728**;1;.621**;-.466**;-.374**;-.395**;-0.215;-.484**;-.416**;-.319*;-0.167;-.376**;.407**;-.660**;-.572**
TEPS_total;.518**;.456**;.602**;.621**;1;-.350**;-0.236;-.254*;-.260*;-.362**;-.357**;-.276*;-0.075;-.294*;.332*;-.386*;-.680**
BNSS_anh;-.509**;-.399**;-0.156;-.466**;-.350**;1;.673**;.575**;.465**;.902**;.803**;.340**;0.224;.304*;-.425**;.427*;.612**
BNSS_asos;-.439**;-0.249;-0.168;-.374**;-0.236;.673**;1;.679**;.529**;.874**;.815**;.318*;0.231;.365**;-.409**;.408*;0.355
BNSS_avol;-.412**;-.291*;-0.201;-.395**;-.254*;.575**;.679**;1;.557**;.830**;.800**;.304*;0.221;.381**;-.537**;.507**;.503**
BNSS_ED;-0.234;-0.055;-0.213;-0.215;-.260*;.465**;.529**;.557**;1;.582**;.852**;0.261;0.161;0.008;-.444**;0.098;0.124
BNSS_MAP;-.529**;-.375**;-0.207;-.484**;-.362**;.902**;.874**;.830**;.582**;1;.922**;.346**;0.252;.440**;-.539**;.513**;.587**
BNSS_tot;-.452**;-.268*;-0.236;-.416**;-.357**;.803**;.815**;.800**;.852**;.922**;1;.348**;0.238;.290*;-.562**;.389*;.449*
BPRStotal;-0.25;-0.262;-.279*;-.319*;-.276*;.340**;.318*;.304*;0.261;.346**;.348**;1;.406**;0.25;-.470**;.487**;.461*
ESRS;0;-0.244;-0.145;-0.167;-0.075;0.224;0.231;0.221;0.161;0.252;0.238;.406**;1;0.208;-.352**;-0.035;0.085
Calgary;-.345**;-.293*;-0.195;-.376**;-.294*;.304*;.365**;.381**;0.008;.440**;.290*;0.25;0.208;1;-0.156;.520**;.513**
PSP;0.25;.334*;.387**;.407**;.332*;-.425**;-.409**;-.537**;-.444**;-.539**;-.562**;-.470**;-.352**;-0.156;1;-.423*;-.527**
SAS;-.592**;-.510**;-.530**;-.660**;-.386*;.427*;.408*;.507**;0.098;.513**;.389*;.487**;-0.035;.520**;-.423*;1;.547**
PAS;-.447*;-.413*;-.643**;-.572**;-.680**;.612**;0.355;.503**;0.124;.587**;.449*;.461*;0.085;.513**;-.527**;.547**;1
